,Product Line,Package Name,Package ID,Index,Parameter,Legacy,K8s,Status
2179,IST,C5900,67336,624.0,value,-,-15.9722900390625,only found in k8s
2180,IST,C5900,67336,625.0,siteTime,-,2023-09-27T11:41:36Z,only found in k8s
2181,IST,C5900,67336,625.0,tagName,-,TCDTBT,only found in k8s
2182,IST,C5900,67336,625.0,tagAlias,-,TCDTBT,only found in k8s
2183,IST,C5900,67336,625.0,value,-,-16.319488525390625,only found in k8s
2184,IST,C5900,67336,626.0,siteTime,-,2023-09-27T11:43:36Z,only found in k8s
2185,IST,C5900,67336,626.0,tagName,-,TCDTBT,only found in k8s
2186,IST,C5900,67336,626.0,tagAlias,-,TCDTBT,only found in k8s
2187,IST,C5900,67336,626.0,value,-,-16.319488525390625,only found in k8s
2188,IST,C5900,67336,627.0,siteTime,-,2023-09-27T11:44:36Z,only found in k8s
2189,IST,C5900,67336,627.0,tagName,-,TCDTBT,only found in k8s
2190,IST,C5900,67336,627.0,tagAlias,-,TCDTBT,only found in k8s
2191,IST,C5900,67336,627.0,value,-,-16.840301513671875,only found in k8s
2192,IST,C5900,67336,73.0,siteTime,-,2023-09-27T11:50:00Z,only found in k8s
2193,IST,C5900,67336,73.0,tagName,-,DMA_G_AP_res,only found in k8s
2194,IST,C5900,67336,73.0,tagAlias,-,DMA_G_AP_res,only found in k8s
2195,IST,C5900,67336,73.0,value,-,25.979900360107422,only found in k8s
2196,IST,C5900,67336,628.0,siteTime,-,2023-09-27T11:52:37Z,only found in k8s
2197,IST,C5900,67336,628.0,tagName,-,TCDTBT,only found in k8s
2198,IST,C5900,67336,628.0,tagAlias,-,TCDTBT,only found in k8s
2199,IST,C5900,67336,628.0,value,-,-16.840301513671875,only found in k8s
2200,IST,C5900,67336,629.0,siteTime,-,2023-09-27T11:53:36Z,only found in k8s
2201,IST,C5900,67336,629.0,tagName,-,TCDTBT,only found in k8s
2202,IST,C5900,67336,629.0,tagAlias,-,TCDTBT,only found in k8s
2203,IST,C5900,67336,629.0,value,-,-17.013916015625,only found in k8s
2204,IST,C5900,67336,630.0,siteTime,-,2023-09-27T11:54:36Z,only found in k8s
2205,IST,C5900,67336,630.0,tagName,-,TCDTBT,only found in k8s
2206,IST,C5900,67336,630.0,tagAlias,-,TCDTBT,only found in k8s
2207,IST,C5900,67336,630.0,value,-,-17.1875,only found in k8s
2208,IST,C5900,67336,631.0,siteTime,-,2023-09-27T11:56:36Z,only found in k8s
2209,IST,C5900,67336,631.0,tagName,-,TCDTBT,only found in k8s
2210,IST,C5900,67336,631.0,tagAlias,-,TCDTBT,only found in k8s
2211,IST,C5900,67336,631.0,value,-,-17.1875,only found in k8s
2212,IST,C5900,67336,632.0,siteTime,-,2023-09-27T11:57:37Z,only found in k8s
2213,IST,C5900,67336,632.0,tagName,-,TCDTBT,only found in k8s
2214,IST,C5900,67336,632.0,tagAlias,-,TCDTBT,only found in k8s
2215,IST,C5900,67336,632.0,value,-,-17.708404541015625,only found in k8s
2216,IST,C5900,67336,633.0,siteTime,-,2023-09-27T11:58:36Z,only found in k8s
2217,IST,C5900,67336,633.0,tagName,-,TCDTBT,only found in k8s
2218,IST,C5900,67336,633.0,tagAlias,-,TCDTBT,only found in k8s
2219,IST,C5900,67336,633.0,value,-,-17.708404541015625,only found in k8s
2220,IST,C5900,67336,634.0,siteTime,-,2023-09-27T11:59:36Z,only found in k8s
2221,IST,C5900,67336,634.0,tagName,-,TCDTBT,only found in k8s
2222,IST,C5900,67336,634.0,tagAlias,-,TCDTBT,only found in k8s
2223,IST,C5900,67336,634.0,value,-,-17.881927490234375,only found in k8s
2224,IST,C5900,67336,74.0,siteTime,-,2023-09-27T12:00:00Z,only found in k8s
2225,IST,C5900,67336,74.0,tagName,-,DMA_G_AP_res,only found in k8s
2226,IST,C5900,67336,74.0,tagAlias,-,DMA_G_AP_res,only found in k8s
2227,IST,C5900,67336,74.0,value,-,25.97760009765625,only found in k8s
2228,IST,C5900,67336,635.0,siteTime,-,2023-09-27T12:00:00Z,only found in k8s
2229,IST,C5900,67336,635.0,tagName,-,TCDTBT,only found in k8s
2230,IST,C5900,67336,635.0,tagAlias,-,TCDTBT,only found in k8s
2231,IST,C5900,67336,635.0,value,-,-17.881927490234375,only found in k8s
2232,IST,C5900,67336,636.0,siteTime,-,2023-09-27T12:00:36Z,only found in k8s
2233,IST,C5900,67336,636.0,tagName,-,TCDTBT,only found in k8s
2234,IST,C5900,67336,636.0,tagAlias,-,TCDTBT,only found in k8s
2235,IST,C5900,67336,636.0,value,-,-17.881927490234375,only found in k8s
2236,IST,C5900,67336,637.0,siteTime,-,2023-09-27T12:01:36Z,only found in k8s
2237,IST,C5900,67336,637.0,tagName,-,TCDTBT,only found in k8s
2238,IST,C5900,67336,637.0,tagAlias,-,TCDTBT,only found in k8s
2239,IST,C5900,67336,637.0,value,-,-18.4027099609375,only found in k8s
2240,IST,C5900,67336,638.0,siteTime,-,2023-09-27T12:03:37Z,only found in k8s
2241,IST,C5900,67336,638.0,tagName,-,TCDTBT,only found in k8s
2242,IST,C5900,67336,638.0,tagAlias,-,TCDTBT,only found in k8s
2243,IST,C5900,67336,638.0,value,-,-18.4027099609375,only found in k8s
2244,IST,C5900,67336,639.0,siteTime,-,2023-09-27T12:04:36Z,only found in k8s
2245,IST,C5900,67336,639.0,tagName,-,TCDTBT,only found in k8s
2246,IST,C5900,67336,639.0,tagAlias,-,TCDTBT,only found in k8s
2247,IST,C5900,67336,639.0,value,-,-18.229095458984375,only found in k8s
2248,IST,C5900,67336,640.0,siteTime,-,2023-09-27T12:06:36Z,only found in k8s
2249,IST,C5900,67336,640.0,tagName,-,TCDTBT,only found in k8s
2250,IST,C5900,67336,640.0,tagAlias,-,TCDTBT,only found in k8s
2251,IST,C5900,67336,640.0,value,-,-18.229095458984375,only found in k8s
2252,IST,C5900,67336,641.0,siteTime,-,2023-09-27T12:07:36Z,only found in k8s
2253,IST,C5900,67336,641.0,tagName,-,TCDTBT,only found in k8s
2254,IST,C5900,67336,641.0,tagAlias,-,TCDTBT,only found in k8s
2255,IST,C5900,67336,641.0,value,-,-17.534698486328125,only found in k8s
2256,IST,C5900,67336,642.0,siteTime,-,2023-09-27T12:08:37Z,only found in k8s
2257,IST,C5900,67336,642.0,tagName,-,TCDTBT,only found in k8s
2258,IST,C5900,67336,642.0,tagAlias,-,TCDTBT,only found in k8s
2259,IST,C5900,67336,642.0,value,-,-17.534698486328125,only found in k8s
2260,IST,C5900,67336,643.0,siteTime,-,2023-09-27T12:09:37Z,only found in k8s
